x,y,z,
0.235458,-0.597702,-0.724487,
0.235458,-0.597702,-0.724487,
0.217346,-0.597702,-0.724487,
0.217346,-0.579590,-0.724487,
0.199234,-0.579590,-0.724487,
0.199234,-0.597702,-0.760712,
0.163010,-0.579590,-0.706375,
0.108673,-0.597702,-0.724487,
0.090561,-0.615814,-0.724487,
0.126785,-0.615814,-0.742599,
0.108673,-0.597702,-0.706375,
0.108673,-0.615814,-0.742599,
0.144897,-0.597702,-0.724487,
0.126785,-0.597702,-0.760712,
0.108673,-0.633926,-0.778824,
-0.054337,-0.597702,-0.742599,
0.138894,-0.601386,-0.734256,
-0.193231,0.003684,-0.008343,
-0.054337,-0.615814,-0.742599,
-0.602828,-0.735091,-0.173907,
-0.144897,-0.633926,-0.760712,
0.093124,-0.605938,-0.737653,
-0.238022,-0.027988,-0.023059,
-0.217346,-0.543365,-0.815048,
0.062077,-0.599681,-0.745392,
-0.279423,0.056316,-0.069656,
-0.398468,-0.615814,-0.760712,
0.016023,-0.601294,-0.746924,
-0.414491,-0.014520,-0.013787,
-0.760712,-0.815048,-0.670151,
-0.061651,-0.622670,-0.739247,
-0.699061,-0.192379,0.069096,
-0.724487,-0.597702,-0.959946,
-0.127935,-0.620173,-0.761317,
-0.596553,0.022471,-0.198629,
-0.344131,-0.452805,-0.996170,
-0.149554,-0.603436,-0.784802,
-0.194577,0.150632,-0.211368,
0.199234,0.036224,-1.430862,
0.434692,0.380356,-1.521423,
0.362244,0.326019,-0.815048,
-0.017540,-0.370137,-0.906453,
0.379784,0.696156,0.091405,
-0.072449,0.181122,-0.235458,
-0.023031,-0.315011,-0.839354,
-0.049418,0.496133,0.603896,
-1.032394,-0.633926,0.199234,
-0.123968,-0.346902,-0.735495,
-0.908427,-0.287024,0.934729,
-1.376526,-1.285965,0.054337,
-0.249223,-0.440809,-0.656512,
-1.127303,-0.845156,0.710849,
-1.159180,-1.503311,-0.579590,
-0.340219,-0.547059,-0.648820,
-0.818961,-0.956252,0.069230,
-0.434692,-0.941833,-1.249741,
-0.349666,-0.586536,-0.708912,
-0.085026,-0.355297,-0.540829,
0.018112,0.126785,-1.974228,
-0.312888,-0.515204,-0.835443,
0.331001,0.641990,-1.138784,
0.416580,0.543365,-1.720657,
-0.239942,-0.409347,-0.923965,
0.656522,0.952713,-0.796692,
0.416580,0.452805,-0.742599,
-0.174289,-0.323132,-0.905828,
0.590870,0.775937,0.163229,
0.144897,0.199234,0.090561,
-0.142371,-0.270895,-0.806189,
0.287268,0.470129,0.896750,
