x,y,z,
-14.390220700,-0.000000000,0.000000000,
-14.152277354,-0.123505053,0.000000000,
-13.935752984,-0.243249473,0.000000000,
-13.743267831,-0.359880134,0.000000000,
-13.576482463,-0.474101215,0.000000000,
-13.436379980,-0.586645019,0.000000000,
-13.323473514,-0.698253659,0.000000000,
-13.237955055,-0.809668017,0.000000000,
-13.179799742,-0.921621378,0.000000000,
-13.148836787,-1.034835898,0.000000000,
-13.144795238,-1.150020568,0.000000000,
-13.167330630,-1.267869734,0.000000000,
-13.216036228,-1.389061381,0.000000000,
-13.290441248,-1.514254508,0.000000000,
-13.389997049,-1.644084908,0.000000000,
-13.514051165,-1.779158588,0.000000000,
-13.661808130,-1.920041918,0.000000000,
-13.832275223,-2.067247383,0.000000000,
-14.024190541,-2.221213570,0.000000000,
-14.235930316,-2.382277722,0.000000000,
-14.465392809,-2.550639039,0.000000000,
-14.709857123,-2.726310870,0.000000000,
-14.965818500,-2.909060427,0.000000000,
-15.228808225,-3.098336051,0.000000000,
-15.493216468,-3.293184822,0.000000000,
-15.752153220,-3.492168294,0.000000000,
-15.997403017,-3.693291497,0.000000000,
-16.219549441,-3.893969303,0.000000000,
-16.408354080,-4.091062153,0.000000000,
-16.553451043,-4.281013521,0.000000000,
-16.645346987,-4.460107283,0.000000000,
-16.676597094,-4.624829685,0.000000000,
-16.642902412,-4.772275472,0.000000000,
-16.543817726,-4.900502069,0.000000000,
-16.382837259,-5.008736000,0.000000000,
-16.166823347,-5.097379821,0.000000000,
-15.904962494,-5.167835582,0.000000000,
-15.607555052,-5.222214869,0.000000000,
-15.284925567,-5.263021940,0.000000000,
-14.946625609,-5.292877725,0.000000000,
-14.600970253,-5.314318564,0.000000000,
-14.254859415,-5.329673543,0.000000000,
-13.913798261,-5.341006743,0.000000000,
-13.582032491,-5.350104879,0.000000000,
-13.262734211,-5.358492448,0.000000000,
-12.958196397,-5.367460692,0.000000000,
-12.670013116,-5.378101489,0.000000000,
-12.399235181,-5.391340897,0.000000000,
-12.146498742,-5.407969666,0.000000000,
-11.912128421,-5.428669681,0.000000000,
-11.696218393,-5.454036208,0.000000000,
-11.498695090,-5.484596216,0.000000000,
-11.319365230,-5.520823305,0.000000000,
-11.157952279,-5.563149790,0.000000000,
-11.014123956,-5.611976459,0.000000000,
-10.887512856,-5.667680455,0.000000000,
-10.777731808,-5.730621654,0.000000000,
-10.684385337,-5.801147916,0.000000000,
-10.607078018,-5.879599355,0.000000000,
-10.545420742,-5.966311990,0.000000000,
-10.499035107,-6.061620745,0.000000000,
-10.467556759,-6.165862143,0.000000000,
-10.450637637,-6.279376600,0.000000000,
-10.447947661,-6.402510561,0.000000000,
-10.459175817,-6.535618414,0.000000000,
-10.484030967,-6.679064342,0.000000000,
-10.522242286,-6.833224038,0.000000000,
-10.573559583,-6.998486418,0.000000000,
-10.637753423,-7.175255284,0.000000000,
-10.714615055,-7.363950906,0.000000000,
-10.803956276,-7.565011627,0.000000000,
-10.905609010,-7.778895308,0.000000000,
-11.019424747,-8.006080713,0.000000000,
-11.145273556,-8.247068602,0.000000000,
-11.283042726,-8.502382544,0.000000000,
-11.432634661,-8.772569119,0.000000000,
-11.593963936,-9.058197378,0.000000000,
-11.766952971,-9.359857023,0.000000000,
-11.951525909,-9.678154853,0.000000000,
-12.147599950,-10.013708639,0.000000000,
-12.355073081,-10.367137265,0.000000000,
-12.573806875,-10.739045594,0.000000000,
-12.803602323,-11.130001696,0.000000000,
-13.044166228,-11.540503417,0.000000000,
-13.295064475,-11.970929823,0.000000000,
-13.555657467,-12.421471521,0.000000000,
-13.825011738,-12.892032012,0.000000000,
-14.101780203,-13.382089740,0.000000000,
-14.384042863,-13.890508729,0.000000000,
-14.669100676,-14.415285086,0.000000000,
-14.953220067,-14.953220067,0.000000000,
-15.231338666,-15.499522831,0.000000000,
-15.496768877,-16.047373938,0.000000000,
-15.740981624,-16.587533588,0.000000000,
-15.953614748,-17.108157267,0.000000000,
-16.122908514,-17.595067123,0.000000000,
-16.236764178,-18.032753497,0.000000000,
-16.284467650,-18.406242369,0.000000000,
-16.258782400,-18.703589613,0.000000000,
-16.157735285,-18.918277347,0.000000000,
-15.985317838,-19.050559962,0.000000000,
-15.750728254,-19.107161257,0.000000000,
-15.466475354,-19.099506436,0.000000000,
-15.146135694,-19.041302230,0.000000000,
-14.802504226,-18.946341419,0.000000000,
-14.446485347,-18.827026253,0.000000000,
-14.086687220,-18.693665329,0.000000000,
-13.729495028,-18.554347643,0.000000000,
-13.379386704,-18.415145966,0.000000000,
-13.039322407,-18.280455810,0.000000000,
-12.711114309,-18.153352563,0.000000000,
-12.395737635,-18.035910176,0.000000000,
-12.093574871,-17.929462073,0.000000000,
-11.804599453,-17.834804300,0.000000000,
-11.528509998,-17.752348632,0.000000000,
-11.264826523,-17.682235722,0.000000000,
-11.012958316,-17.624417459,0.000000000,
-10.772251241,-17.578716362,0.000000000,
-10.542020279,-17.544868053,0.000000000,
-10.321571616,-17.522551466,0.000000000,
-10.110217305,-17.511410048,0.000000000,
-9.907284844,-17.511066679,0.000000000,
-9.712123123,-17.521133919,0.000000000,
-9.524105899,-17.541220960,0.000000000,
-9.342633598,-17.570938264,0.000000000,
-9.167133964,-17.609900500,0.000000000,
-8.997061950,-17.657728302,0.000000000,
-8.831899139,-17.714049207,0.000000000,
-8.671152840,-17.778497979,0.000000000,
-8.514355045,-17.850716570,0.000000000,
-8.361061298,-17.930353816,0.000000000,
-8.210849528,-18.017064912,0.000000000,
-8.063318932,-18.110510842,0.000000000,
-7.918088894,-18.210357731,0.000000000,
-7.774797968,-18.316276186,0.000000000,
-7.633102922,-18.427940597,0.000000000,
-7.492677895,-18.545028555,0.000000000,
-7.353213591,-18.667220210,0.000000000,
-7.214416587,-18.794197760,0.000000000,
-7.076008688,-18.925644928,0.000000000,
-6.937726364,-19.061246527,0.000000000,
-6.799320264,-19.200688108,0.000000000,
-6.660554777,-19.343655636,0.000000000,
-6.521207657,-19.489835262,0.000000000,
-6.381069697,-19.638913157,0.000000000,
-6.239944461,-19.790575419,0.000000000,
-6.097648039,-19.944508055,0.000000000,
-5.954008858,-20.100397041,0.000000000,
-5.808867509,-20.257928452,0.000000000,
-5.662076618,-20.416788701,0.000000000,
-5.513500714,-20.576664791,0.000000000,
-5.363016129,-20.737244695,0.000000000,
-5.210510921,-20.898217855,0.000000000,
-5.055884761,-21.059275634,0.000000000,
-4.899048859,-21.220111938,0.000000000,
-4.739925864,-21.380423902,0.000000000,
-4.578449765,-21.539912619,0.000000000,
-4.414565756,-21.698283913,0.000000000,
-4.248230101,-21.855249227,0.000000000,
-4.079409962,-22.010526513,0.000000000,
-3.908083188,-22.163841135,0.000000000,
-3.734238091,-22.314926913,0.000000000,
-3.557873164,-22.463527079,0.000000000,
-3.378996759,-22.609395245,0.000000000,
-3.197626738,-22.752296476,0.000000000,
-3.013790055,-22.892008204,0.000000000,
-2.827522310,-23.028321227,0.000000000,
-2.638867248,-23.161040588,0.000000000,
-2.447876215,-23.289986444,0.000000000,
-2.254607567,-23.414994843,0.000000000,
-2.059126046,-23.535918405,0.000000000,
-1.861502114,-23.652626973,0.000000000,
-1.661811250,-23.765008072,0.000000000,
-1.460133231,-23.872967295,0.000000000,
-1.256551378,-23.976428604,0.000000000,
-1.051151802,-24.075334426,0.000000000,
-0.844022625,-24.169645670,0.000000000,
-0.635253216,-24.259341590,0.000000000,
-0.424933424,-24.344419532,0.000000000,
-0.213152825,-24.424894499,0.000000000,
-0.000000000,-24.500798600,0.000000000,
0.214438170,-24.572180401,0.000000000,
0.430077162,-24.639104113,0.000000000,
0.646835433,-24.701648620,0.000000000,
0.864634986,-24.759906450,0.000000000,
1.083401878,-24.813982607,0.000000000,
1.303066671,-24.863993268,0.000000000,
1.523564806,-24.910064385,0.000000000,
1.744836898,-24.952330153,0.000000000,
1.966828961,-24.990931460,0.000000000,
2.189492524,-25.026014062,0.000000000,
2.412784667,-25.057726832,0.000000000,
2.636667944,-25.086219768,0.000000000,
2.861110194,-25.111641889,0.000000000,
3.086084230,-25.134139073,0.000000000,
3.311567394,-25.153851656,0.000000000,
3.537540974,-25.170911938,0.000000000,
3.763989455,-25.185441526,0.000000000,
3.990899599,-25.197548390,0.000000000,
4.218259341,-25.207323848,0.000000000,
4.446056478,-25.214839271,0.000000000,
4.674277120,-25.220142480,0.000000000,
4.902903921,-25.223254058,0.000000000,
5.131914018,-25.224163271,0.000000000,
5.361276703,-25.222823802,0.000000000,
5.590950793,-25.219149284,0.000000000,
5.820881687,-25.213008594,0.000000000,
6.050998122,-25.204221087,0.000000000,
6.281208612,-25.192551739,0.000000000,
6.511397619,-25.177706438,0.000000000,
6.741421500,-25.159327552,0.000000000,
6.971104297,-25.136990023,0.000000000,
7.200233507,-25.110198333,0.000000000,
7.428555950,-25.078384598,0.000000000,
7.655773984,-25.040908382,0.000000000,
7.881542298,-24.997058586,0.000000000,
8.105465615,-24.946058085,0.000000000,
8.327097653,-24.887071540,0.000000000,
8.545941711,-24.819216877,0.000000000,
8.761453313,-24.741580906,0.000000000,
8.973045252,-24.653239213,0.000000000,
9.180095287,-24.553280170,0.000000000,
9.381956639,-24.440832647,0.000000000,
9.577971254,-24.315096570,0.000000000,
9.767485476,-24.175374894,0.000000000,
9.949867572,-24.021105236,0.000000000,
10.124526326,-23.851889298,0.000000000,
10.290929568,-23.667517671,0.000000000,
10.448621575,-23.467988294,0.000000000,
10.597238103,-23.253516721,0.000000000,
10.736518127,-23.024537426,0.000000000,
10.866311443,-22.781695701,0.000000000,
10.986581819,-22.525830909,0.000000000,
11.097405630,-22.257952260,0.000000000,
11.198966407,-21.979209122,0.000000000,
11.291545931,-21.690857919,0.000000000,
11.375512764,-21.394227911,0.000000000,
11.451309158,-21.090687814,0.000000000,
11.519437314,-20.781615029,0.000000000,
11.580445728,-20.468368530,0.000000000,
11.634916400,-20.152266347,0.000000000,
11.683453229,-19.834567653,0.000000000,
11.726672025,-19.516459647,0.000000000,
11.765192121,-19.199048611,0.000000000,
11.799629727,-18.883354882,0.000000000,
11.830592781,-18.570310857,0.000000000,
11.858677278,-18.260761658,0.000000000,
11.884464795,-17.955467670,0.000000000,
11.908521040,-17.655108487,0.000000000,
11.931395248,-17.360287810,0.000000000,
11.953620244,-17.071538924,0.000000000,
11.975713006,-16.789330424,0.000000000,
11.998175579,-16.514071946,0.000000000,
12.021496288,-16.246119822,0.000000000,
12.046151122,-15.985782467,0.000000000,
12.072605155,-15.733325355,0.000000000,
12.101314129,-15.488975758,0.000000000,
12.132725948,-15.252926973,0.000000000,
12.167282203,-15.025342195,0.000000000,
12.205419643,-14.806358003,0.000000000,
12.247571562,-14.596087409,0.000000000,
12.294169118,-14.394622577,0.000000000,
12.345642606,-14.202037221,0.000000000,
12.402422566,-14.018388604,0.000000000,
12.464940786,-13.843719233,0.000000000,
12.533631231,-13.678058311,0.000000000,
12.608930742,-13.521422794,0.000000000,
12.691279577,-13.373818182,0.000000000,
12.781121730,-13.235238996,0.000000000,
12.878904967,-13.105668908,0.000000000,
12.985080449,-12.985080449,0.000000000,
13.100101988,-12.873434370,0.000000000,
13.224424606,-12.770678396,0.000000000,
13.358502454,-12.676745493,0.000000000,
13.502785620,-12.591551296,0.000000000,
13.657715775,-12.514990731,0.000000000,
13.823720129,-12.446933511,0.000000000,
14.001203253,-12.387218252,0.000000000,
14.190536157,-12.335644883,0.000000000,
14.392041813,-12.291964937,0.000000000,
14.605976201,-12.255869243,0.000000000,
14.832503453,-12.226972289,0.000000000,
15.071663793,-12.204792694,0.000000000,
15.323332367,-12.188728928,0.000000000,
15.587166870,-12.178029434,0.000000000,
15.862542129,-12.171756674,0.000000000,
16.148469488,-12.168744585,0.000000000,
16.443500258,-12.167550128,0.000000000,
16.745614122,-12.166400817,0.000000000,
17.052096905,-12.163142515,0.000000000,
17.359418197,-12.155195480,0.000000000,
17.663127524,-12.139531217,0.000000000,
17.957799017,-12.112688381,0.000000000,
18.237065334,-12.070850223,0.000000000,
18.493788380,-12.010006601,0.000000000,
18.720407900,-11.926215143,0.000000000,
18.909481751,-11.815955607,0.000000000,
19.054379347,-11.676538681,0.000000000,
19.150023601,-11.506495035,0.000000000,
19.193524872,-11.305850173,0.000000000,
19.184546299,-11.076202970,0.000000000,
19.125301506,-10.820574967,0.000000000,
19.020191462,-10.543064288,0.000000000,
18.875188528,-10.248391193,0.000000000,
18.697126652,-9.941438586,0.000000000,
18.493044587,-9.626869676,0.000000000,
