Freq,dB
2,-51.216574879
4,-50.786819143
6,-50.320109919
8,-50.493840681
10,-50.188232578
12,-51.163000932
14,-51.177088277
16,-50.605045373
18,-51.085026531
20,-51.695782405
22,-52.199788807
24,-51.990529500
26,-52.636754842
28,-52.384059802
30,-52.620186915
32,-52.190535379
34,-54.851139480
36,-55.139124462
38,-50.741366816
40,-50.171210824
42,-50.203286261
44,-52.805608429
46,-52.643023234
48,-52.760061149
50,-53.026468522
52,-53.691793513
54,-50.872696638
56,-50.946552578
58,-51.159288105
60,-51.360643307
62,-53.819260574
64,-54.213140632
66,-53.816244038
68,-53.712569708
70,-55.090495873
72,-55.193895944
74,-55.385421411
76,-55.869849031
78,-54.696979248
80,-55.098187432
82,-55.369981436
84,-55.924093349
86,-55.260072340
88,-54.797766473
90,-54.872270268
92,-55.433485685
94,-55.934661546
96,-56.295487218
98,-55.788828142
100,-54.751315089
102,-53.081834620
104,-54.050827934
106,-54.230521550
108,-53.917029546
110,-54.200831089
112,-54.033757388
114,-54.530352559
116,-66.411516616
118,-60.156961984
120,-67.719116246
122,-53.900517942
124,-54.216343870
126,-53.712105351
128,-52.838055117
130,-52.077607435
132,-58.471501353
134,-57.374485173
136,-58.659674285
138,-56.343794623
140,-56.452201349
142,-56.097733633
144,-55.606841377
146,-49.842555629
148,-50.736308811
150,-50.701837179
152,-50.357708621
154,-50.865421269
156,-50.960702294
158,-51.104431942
160,-50.794847843
162,-50.457991950
164,-49.355035508
166,-49.983426244
168,-48.357428582
170,-50.233578254
172,-49.510974180
174,-50.595733732
176,-49.557457599
178,-50.076799705
180,-50.003472038
182,-49.827108617
184,-48.989324227
186,-49.639459611
188,-49.110603451
190,-48.991064277
192,-48.145898193
194,-47.676785430
196,-47.844087963
198,-47.826829187
200,-47.854128437
202,-47.938276180
204,-47.880184149
206,-47.816761858
208,-47.713947806
210,-47.949291222
212,-49.594601566
214,-48.768075432
216,-49.604705577
218,-49.180472489
220,-50.124419433
222,-49.503110906
224,-48.875687551
226,-49.473140218
228,-49.455291968
230,-50.079907557
232,-48.322348032
234,-49.809880905
236,-49.123946514
238,-49.951157964
240,-50.767864907
