x,y,z,
-300.000000000,-0.000000000,0.000000000,
-299.817248106,-10.469849011,0.000000000,
-57.959281947,-4.052907809,0.000000000,
-57.782530275,-6.073188656,0.000000000,
-57.373598351,-8.063333402,0.000000000,
-57.057241628,-10.060731144,0.000000000,
-56.671369444,-12.045871434,0.000000000,
-55.353002533,-13.801053573,0.000000000,
-54.837633156,-15.724438273,0.000000000,
-54.350732646,-17.659623541,0.000000000,
-53.701311675,-19.545678991,0.000000000,
-52.859941708,-21.356802746,0.000000000,
-52.082399193,-23.188578120,0.000000000,
-51.404664205,-25.071729937,0.000000000,
-50.498359116,-26.850453825,0.000000000,
-49.530529555,-28.596464572,0.000000000,
-48.999206762,-30.618102574,0.000000000,
-47.900801400,-32.309498508,0.000000000,
-47.392014549,-34.432314057,0.000000000,
-46.161474183,-36.065296277,0.000000000,
-45.244756114,-37.964858168,0.000000000,
-43.892239789,-39.520750219,0.000000000,
-42.486247531,-41.028492324,0.000000000,
-41.380084599,-42.850331989,0.000000000,
-39.859421950,-44.268372851,0.000000000,
-38.566961759,-45.962315232,0.000000000,
-36.939406139,-47.280283786,0.000000000,
-35.648575580,-49.066054920,0.000000000,
-33.914478810,-50.280282551,0.000000000,
-32.503062752,-52.015773621,0.000000000,
-30.667938444,-53.118427549,0.000000000,
-28.795449978,-54.156364855,0.000000000,
-27.285144603,-55.942836799,0.000000000,
-25.316146382,-56.860995748,0.000000000,
-23.648260663,-58.531499073,0.000000000,
-21.591134923,-59.321155660,0.000000000,
-19.893272104,-61.225196055,0.000000000,
-17.744425132,-61.882164504,0.000000000,
-15.950182590,-63.972688219,0.000000000,
-13.707851548,-64.490371130,0.000000000,
-11.448819601,-64.929482458,0.000000000,
-9.475827274,-67.424014481,0.000000000,
-7.116990685,-67.713643196,0.000000000,
-4.959219438,-70.920142078,0.000000000,
-2.481121151,-71.050013706,0.000000000,
-0.000000000,-74.536868443,0.000000000,
2.601299194,-74.491462596,0.000000000,
5.288267269,-75.625745297,0.000000000,
7.924346249,-75.395118271,0.000000000,
10.550770632,-75.072633906,0.000000000,
12.951817439,-73.453406772,0.000000000,
15.507414469,-72.956649032,0.000000000,
17.585679652,-70.532308652,0.000000000,
20.036509005,-69.875610907,0.000000000,
21.940639828,-67.526345994,0.000000000,
24.283909672,-66.719493481,0.000000000,
26.597593313,-65.831353543,0.000000000,
28.559091133,-64.144768913,0.000000000,
30.780313857,-63.108995746,0.000000000,
32.774380408,-61.639644618,0.000000000,
34.905607715,-60.458286031,0.000000000,
37.031420440,-59.262660789,0.000000000,
39.077098934,-57.934181642,0.000000000,
41.311993282,-56.861080651,0.000000000,
43.271250228,-55.384674644,0.000000000,
45.177787822,-53.840790942,0.000000000,
47.060429585,-52.265902050,0.000000000,
48.855815319,-50.591677767,0.000000000,
50.195460374,-48.473192630,0.000000000,
51.856572682,-46.691867767,0.000000000,
52.834964040,-44.333798839,0.000000000,
54.350005674,-42.462878233,0.000000000,
55.208024894,-40.110977973,0.000000000,
56.574246600,-38.159811166,0.000000000,
57.871541302,-36.162152507,0.000000000,
58.835435504,-33.968654526,0.000000000,
59.985083493,-31.894634652,0.000000000,
60.934538367,-29.719760131,0.000000000,
61.934623364,-27.575070935,0.000000000,
62.687311560,-25.327317897,0.000000000,
63.533034791,-23.124133557,0.000000000,
64.301352806,-20.892776021,0.000000000,
65.150414366,-18.681580700,0.000000000,
65.762704258,-16.396483714,0.000000000,
66.663410136,-14.169745248,0.000000000,
67.117317566,-11.834593960,0.000000000,
67.649430616,-9.507507446,0.000000000,
67.940027636,-7.140784649,0.000000000,
68.021568987,-4.756531463,0.000000000,
68.146132639,-2.379715390,0.000000000,
68.187670725,-0.000000000,0.000000000,
67.147183287,2.344831310,0.000000000,
67.024445604,4.686805803,0.000000000,
66.921232626,7.033704978,0.000000000,
66.634993256,9.364937573,0.000000000,
66.276137378,11.686271197,0.000000000,
65.827918763,13.992156074,0.000000000,
65.769283153,16.398124017,0.000000000,
65.156932008,18.683449603,0.000000000,
64.465197177,20.946012284,0.000000000,
64.343942811,23.419279939,0.000000000,
63.487425137,25.650584766,0.000000000,
63.407196805,28.230702873,0.000000000,
62.383333533,30.426384747,0.000000000,
62.645749607,33.309335919,0.000000000,
61.445108450,35.475349904,0.000000000,
62.095358501,38.801486423,0.000000000,
60.703379339,40.944946365,0.000000000,
59.237442460,43.038521197,0.000000000,
59.145122509,46.209234094,0.000000000,
57.496413886,48.245219685,0.000000000,
56.666764712,51.022984124,0.000000000,
54.851568384,52.969543869,0.000000000,
53.886037561,55.800625385,0.000000000,
51.905797902,57.647228742,0.000000000,
49.862319023,59.423597830,0.000000000,
47.785447832,61.162584093,0.000000000,
45.621794827,62.793013579,0.000000000,
43.110166758,63.913450582,0.000000000,
40.853357952,65.379039358,0.000000000,
38.297356065,66.332966500,0.000000000,
35.959039205,67.629116700,0.000000000,
33.129667911,67.925885389,0.000000000,
30.738907000,69.040715511,0.000000000,
28.310695465,70.071430156,0.000000000,
25.482858846,70.013579264,0.000000000,
23.023896699,70.860267831,0.000000000,
20.409423816,71.176119407,0.000000000,
17.912980202,71.845039457,0.000000000,
15.350126121,72.216665531,0.000000000,
12.820449958,72.708384766,0.000000000,
10.223697265,72.745385970,0.000000000,
7.678691907,73.057873336,0.000000000,
5.124331246,73.281350936,0.000000000,
2.545185462,72.884575552,0.000000000,
0.000000000,72.929001930,0.000000000,
-2.504619071,71.722906103,0.000000000,
-5.006186650,71.591804502,0.000000000,
-7.325756914,69.699921185,0.000000000,
-9.753786431,69.401796647,0.000000000,
-11.891737135,67.441392616,0.000000000,
-14.238163669,66.985293501,0.000000000,
-16.567243194,66.447583124,0.000000000,
-18.497368875,64.507991388,0.000000000,
-20.737397210,63.823145998,0.000000000,
-22.611717597,62.125183513,0.000000000,
-24.766080787,61.298200966,0.000000000,
-26.732100189,60.041280069,0.000000000,
-28.811226172,59.071767701,0.000000000,
-30.855250113,58.030285483,0.000000000,
-33.052065380,57.247856533,0.000000000,
-35.029852335,56.059482239,0.000000000,
-37.182224768,55.124915164,0.000000000,
-39.083406157,53.793693624,0.000000000,
-41.744317120,53.430289389,0.000000000,
-43.583577818,51.940885443,0.000000000,
-46.856572899,52.039496264,0.000000000,
-48.644181369,50.372524397,0.000000000,
-50.372524397,48.644181369,0.000000000,
-54.876988557,49.411462436,0.000000000,
-56.567994149,47.466183027,0.000000000,
-59.312558734,46.340049610,0.000000000,
-60.893671534,44.241842056,0.000000000,
-57.881131558,39.041316200,0.000000000,
-59.208394222,36.997510925,0.000000000,
-57.607267433,33.259571359,0.000000000,
-58.732916943,31.228845887,0.000000000,
-59.787009441,29.160072877,0.000000000,
-59.042336194,26.287341721,0.000000000,
-59.923784193,24.210780365,0.000000000,
-59.557186550,21.677043141,0.000000000,
-60.277423817,19.585322236,0.000000000,
-60.054744132,17.220420773,0.000000000,
-60.619144423,15.114050213,0.000000000,
-60.457711603,12.850683305,0.000000000,
-60.869364779,10.732911309,0.000000000,
-61.206858009,8.602062914,0.000000000,
-60.875267355,6.398248422,0.000000000,
-61.061479437,4.269834590,0.000000000,
-60.569672610,2.115139575,0.000000000,
