Freq,dB
4,-64.439765081
6,-64.439765081
8,-65.369437425
10,-65.369437425
12,-65.088854274
14,-65.088854274
16,-67.221136969
18,-67.221136969
20,-65.145196253
22,-65.145196253
24,-65.145196253
26,-64.419241766
28,-64.419241766
30,-63.367313382
32,-63.367313382
34,-62.356075147
36,-62.356075147
38,-61.043685009
40,-61.043685009
42,-59.637222258
44,-59.637222258
46,-59.637222258
48,-58.514126425
50,-58.514126425
52,-58.044579699
54,-58.044579699
56,-57.683531206
58,-57.683531206
60,-56.980001045
62,-56.980001045
64,-56.464204006
66,-56.464204006
68,-56.234640225
70,-56.234640225
72,-56.234640225
74,-55.879826153
76,-55.879826153
78,-55.622518461
80,-55.622518461
82,-56.116041034
84,-56.116041034
86,-56.390548907
88,-56.390548907
90,-57.250442529
92,-57.250442529
94,-57.250442529
96,-58.176488370
98,-58.176488370
100,-60.178111532
102,-60.178111532
104,-62.020836884
106,-62.020836884
108,-63.803273139
110,-63.803273139
112,-66.198885175
114,-66.198885175
116,-69.470123903
118,-69.470123903
120,-69.470123903
122,-70.382540700
124,-70.382540700
126,-69.367048449
128,-69.367048449
130,-68.027179539
132,-68.027179539
134,-67.653872605
136,-67.653872605
138,-65.235652607
140,-65.235652607
142,-65.235652607
144,-63.502171343
146,-63.502171343
148,-63.759684462
150,-63.759684462
152,-62.927633309
154,-62.927633309
156,-62.382523670
158,-62.382523670
160,-62.253426191
162,-62.253426191
164,-61.700904617
166,-61.700904617
168,-61.700904617
170,-61.720016055
172,-61.720016055
174,-62.133441506
176,-62.133441506
178,-62.272160918
180,-62.272160918
182,-62.366787003
184,-62.366787003
186,-62.030627930
188,-62.030627930
190,-62.030627930
192,-61.912997574
194,-61.912997574
196,-61.398085924
198,-61.398085924
200,-61.079026470
202,-61.079026470
204,-61.032582394
206,-61.032582394
208,-60.835931162
210,-60.835931162
212,-60.765118059
214,-60.765118059
216,-60.765118059
218,-60.522729646
220,-60.522729646
222,-60.511855261
224,-60.511855261
226,-60.425785242
228,-60.425785242
230,-60.572474730
232,-60.572474730
234,-60.623312731
236,-60.623312731
238,-60.623312731
240,-60.616528425
242,-60.616528425
244,-60.526832967
246,-60.526832967
248,-60.413184947
250,-60.413184947
252,-60.227089419
254,-60.227089419
256,-59.899459835
258,-59.899459835
260,-59.481988651
262,-59.481988651
264,-59.481988651
266,-58.962591768
268,-58.962591768
270,-58.393186265
272,-58.393186265
274,-56.488520754
276,-56.488520754
278,-55.576637574
280,-55.576637574
282,-55.444932363
284,-55.444932363
286,-55.444932363
288,-55.877518500
290,-55.877518500
292,-55.933328577
294,-55.933328577
296,-55.926534037
298,-55.926534037
300,-56.032458403
302,-56.032458403
304,-55.819883281
306,-55.819883281
308,-55.819883281
310,-55.562011415
312,-55.562011415
314,-55.325927479
316,-55.325927479
318,-55.231120948
320,-55.231120948
322,-55.225668453
324,-55.225668453
326,-55.301933111
328,-55.301933111
330,-55.437502560
332,-55.437502560
334,-55.437502560
336,-56.115745624
338,-56.115745624
340,-56.449150443
342,-56.449150443
344,-56.663197696
346,-56.663197696
348,-56.845389400
350,-56.845389400
352,-56.989347244
354,-56.989347244
356,-56.989347244
358,-57.200445215
